,volume,DailyTweetAmounts
"Nov 20, 2017",-18.30829015544041,2
"Nov 21, 2017",4.541274220657732,2
"Nov 22, 2017",-18.471105718185953,12
"Nov 24, 2017",-55.86768864414348,6
"Nov 27, 2017",149.82716465728015,5
"Nov 28, 2017",7.734881209503231,18
"Nov 29, 2017",25.739255732364374,22
"Nov 30, 2017",21.62128497047906,11
"Dec 11, 2017",2.3808712830818424,1
"Dec 12, 2017",13.853217113580403,6
"Dec 13, 2017",-4.950032143065863,4
"Dec 14, 2017",-3.227988194786036,7
"Dec 15, 2017",101.96327593875084,9
"Dec 18, 2017",-44.17843772611445,13
"Dec 19, 2017",-5.508904418394955,4
"Dec 20, 2017",1.9264605015954397,6
"Dec 21, 2017",-0.6612247286345463,5
"Dec 22, 2017",-24.854946543751648,11
"Dec 26, 2017",-18.36246766481148,3
"Dec 27, 2017",8.449757549570315,4
"Dec 28, 2017",-11.036345123732794,10
"Dec 29, 2017",34.733280254777064,8
"Jan 10, 2018",2.3928753485861654,8
"Jan 11, 2018",1.569684013236894,14
"Jan 12, 2018",8.522907476285214,7
"Jan 16, 2018",61.141369324371006,9
"Jan 17, 2018",-13.816527072479055,8
"Jan 18, 2018",-5.727731864095497,9
"Jan 19, 2018",18.71423353220505,7
"Jan 22, 2018",-26.290598290598286,4
"Jan 23, 2018",0.531076066790348,7
"Jan 24, 2018",19.67750121110061,4
"Jan 25, 2018",-22.62958036970644,3
"Jan 26, 2018",19.031366003139087,7
"Jan 29, 2018",-11.88413077148478,1
"Jan 30, 2018",6.4916864608076,1
"Feb 12, 2018",-32.43677128824673,3
"Feb 13, 2018",-24.60683433680353,2
"Feb 14, 2018",15.157180630859225,4
"Feb 15, 2018",-3.3351887930234687,7
"Feb 16, 2018",-2.411344114400882,4
"Feb 20, 2018",3.633860300445013,13
"Feb 21, 2018",8.199093734430974,6
"Feb 22, 2018",-16.920648146117927,10
"Feb 23, 2018",-11.475323304301932,9
"Feb 27, 2018",-7.387611965523066,10
"Feb 28, 2018",3.0748876571089716,8
"Mar 12, 2018",-2.419463358182849,7
"Mar 13, 2018",23.525842572673632,9
"Mar 14, 2018",-20.32910601053853,9
"Mar 15, 2018",-11.355547459574588,6
"Mar 16, 2018",106.83506686478457,4
"Mar 19, 2018",-42.224565908535105,4
"Mar 20, 2018",-9.386491706129796,1
"Mar 21, 2018",0.21021284050100064,9
"Mar 22, 2018",27.98415056958889,6
"Mar 23, 2018",9.850209433618653,6
"Mar 26, 2018",-0.6237695575588065,5
"Mar 27, 2018",9.371481002627522,1
"Mar 28, 2018",1.0600976205003,9
"Mar 29, 2018",-12.544336276507428,4
"Apr 10, 2018",-3.2038656477323517,6
"Apr 11, 2018",-22.30934100219757,12
"Apr 12, 2018",17.380220701215254,10
"Apr 13, 2018",-1.2614167137714571,6
"Apr 16, 2018",-8.08099068968634,8
"Apr 17, 2018",12.239813813223188,23
"Apr 18, 2018",-11.792879880844598,14
"Apr 19, 2018",26.18282952024633,13
"Apr 20, 2018",41.10624229225157,10
"Apr 23, 2018",-34.72488238466259,4
"Apr 24, 2018",33.37321596444749,10
"Apr 25, 2018",-6.638472382417016,8
"Apr 26, 2018",-10.693205216197663,2
"Apr 27, 2018",0.6276257813300434,13
"Apr 30, 2018",6.069091927394933,7
"May 10, 2018",-15.866474915647988,5
"May 11, 2018",-9.881331974622796,4
"May 14, 2018",3.1770928323910264,6
"May 15, 2018",6.73124513893799,9
"May 16, 2018",-6.985756873136794,10
"May 17, 2018",12.050852889854347,11
"May 18, 2018",-14.28571428571429,11
"May 21, 2018",14.542083796811278,10
"May 22, 2018",-6.707238119901593,5
"May 23, 2018",38.65718251214434,16
"May 24, 2018",-13.152824003403316,10
"May 25, 2018",-25.886759832877107,18
"May 29, 2018",53.885929785000585,7
"May 30, 2018",-17.922740708926,14
"May 31, 2018",32.28060454951211,12
"Jun 11, 2018",-12.840540455418726,6
"Jun 12, 2018",-3.9712365397123635,14
"Jun 13, 2018",24.06396989651929,13
"Jun 14, 2018",3.4789202305125944,7
"Jun 15, 2018",93.26728610370195,19
"Jun 18, 2018",-48.87999150704461,8
"Jun 19, 2018",11.662265998160624,12
"Jun 20, 2018",-4.479515383389132,16
"Jun 21, 2018",-2.7675789942145035,17
"Jun 22, 2018",35.58657779557743,17
"Jun 25, 2018",-7.350676203135222,18
"Jun 26, 2018",-31.42577368888484,19
"Jun 27, 2018",4.204164314415704,12
"Jun 28, 2018",-2.7948628063354515,11
"Jun 29, 2018",7.884728870238012,5
"Jul 10, 2018",-2.3027683099177017,16
"Jul 11, 2018",0.9913206262763818,18
"Jul 12, 2018",-1.7778152251758828,10
"Jul 13, 2018",9.594681535492168,4
"Jul 16, 2018",-9.490450845335008,10
"Jul 17, 2018",8.293336792493623,8
"Jul 18, 2018",0.966260730684776,13
"Jul 19, 2018",13.006683275991616,12
"Jul 20, 2018",-4.087346024636062,14
"Jul 23, 2018",-16.513426736719204,12
"Jul 24, 2018",20.15558080587361,16
"Jul 25, 2018",-0.4619189641376309,16
"Jul 26, 2018",8.718529615960824,10
"Jul 27, 2018",10.80563304540718,16
"Jul 30, 2018",-9.94904149478282,16
"Jul 31, 2018",17.454863918081376,19
