,volume
"Jan 20, 2017",
"Jan 23, 2017",-24.943711804438728
"Jan 24, 2017",14.622424928831613
"Jan 25, 2017",-0.5928537093414565
"Jan 26, 2017",-4.1666666666666625
"Jan 27, 2017",-3.812407142656915
"Jan 30, 2017",-7.5335878530003235
"Jan 31, 2017",17.798159354513366
"Feb 01, 2017",14.159197324414707
"Feb 02, 2017",-18.62094827384161
"Feb 03, 2017",-0.8640055296353921
"Feb 06, 2017",-18.156992620998203
"Feb 07, 2017",-0.7276728666761323
"Feb 08, 2017",0.26459756141166135
"Feb 09, 2017",16.012267750793473
"Feb 10, 2017",-4.02078017890627
"Feb 13, 2017",0.7654613586138392
"Feb 14, 2017",13.336723666645467
"Feb 15, 2017",7.796286948230402
"Feb 16, 2017",-7.872417919766894
"Feb 17, 2017",-3.8122670281260596
"Feb 21, 2017",-1.0979977687745834
"Feb 22, 2017",-7.821776300166228
"Feb 23, 2017",-2.7114932534698766
"Feb 24, 2017",-3.1677203667538345
"Feb 27, 2017",-12.306009434607235
"Feb 28, 2017",32.22499415295861
"Mar 01, 2017",15.804368974971261
"Mar 02, 2017",-18.56066391731582
"Mar 03, 2017",-20.471382576349594
"Mar 06, 2017",4.795220501532893
"Mar 07, 2017",3.004275748255947
"Mar 08, 2017",8.065397079707237
"Mar 09, 2017",-7.015297526787522
"Mar 10, 2017",14.302797506885057
"Mar 13, 2017",-8.296610975493767
"Mar 14, 2017",-14.671921454746595
"Mar 15, 2017",24.21602787456445
"Mar 16, 2017",-13.774095697837508
"Mar 17, 2017",102.4814646693902
"Mar 20, 2017",-52.621058137797036
"Mar 21, 2017",45.625172508970465
"Mar 22, 2017",-11.976064117838192
"Mar 23, 2017",-13.854624873112066
"Mar 24, 2017",4.617032672737009
"Mar 27, 2017",-8.055157348624476
"Mar 28, 2017",11.24433885217908
"Mar 29, 2017",-20.47251977174892
"Mar 30, 2017",13.67069486404835
"Mar 31, 2017",12.133628645256556
"Apr 03, 2017",-5.958455410343355
"Apr 04, 2017",-16.90061959603738
"Apr 05, 2017",20.04717974640886
"Apr 06, 2017",-11.670994455751282
"Apr 07, 2017",-12.708565072302559
"Apr 10, 2017",4.89236790606653
"Apr 11, 2017",10.690732384588685
"Apr 12, 2017",4.919253684540603
"Apr 13, 2017",-11.902716030933613
"Apr 17, 2017",-2.786141385013363
"Apr 18, 2017",14.805444076077467
"Apr 19, 2017",12.010791093548146
"Apr 20, 2017",5.987313002476347
"Apr 21, 2017",18.294712584816274
"Apr 24, 2017",-7.359307359307355
"Apr 25, 2017",1.688084112149535
"Apr 26, 2017",-5.637888448503647
"Apr 27, 2017",-6.957845076852842
"Apr 28, 2017",7.949229611698128
"May 01, 2017",-12.676141701263678
"May 02, 2017",17.57704053303719
"May 03, 2017",-8.23175230955403
"May 04, 2017",-11.642866332175483
"May 05, 2017",-5.008736167734417
"May 08, 2017",5.820815450643768
"May 09, 2017",-1.1406844106463865
"May 10, 2017",3.7875457875457874
"May 11, 2017",1.5317286652078765
"May 12, 2017",0.2850389321468194
"May 15, 2017",8.55112651646448
"May 16, 2017",-0.5077114666155791
"May 17, 2017",35.82386545991398
"May 18, 2017",-0.14413988657845378
"May 19, 2017",-13.585271776426321
"May 22, 2017",-24.387973054384137
"May 23, 2017",-11.288570186875269
"May 24, 2017",15.607266789140638
"May 25, 2017",-5.018009746451025
"May 26, 2017",-22.667955534074437
"May 30, 2017",16.735576923076923
"May 31, 2017",53.03323586343232
"Jun 01, 2017",-25.52613165401798
"Jun 02, 2017",19.14140136595237
"Jun 05, 2017",-18.171064604185627
"Jun 06, 2017",5.100263167648911
"Jun 07, 2017",-3.5796155880796987
"Jun 08, 2017",20.822970007315277
"Jun 09, 2017",20.24339297066571
"Jun 12, 2017",32.95065458207451
"Jun 13, 2017",-38.738448719890926
"Jun 14, 2017",-8.784890729807426
"Jun 15, 2017",7.492629367311676
"Jun 16, 2017",90.1828499369483
"Jun 19, 2017",-52.027318237575834
"Jun 20, 2017",7.187284035936425
"Jun 21, 2017",-5.705996131528046
"Jun 22, 2017",-7.45982905982906
"Jun 23, 2017",36.10166986847938
"Jun 26, 2017",-34.34310532030401
"Jun 27, 2017",20.79130147180419
"Jun 28, 2017",-7.071225656295987
"Jun 29, 2017",24.028580899414376
"Jun 30, 2017",-6.9755011135857465
"Jul 03, 2017",-40.36583030070867
"Jul 05, 2017",46.50714629837802
"Jul 06, 2017",17.085023201432282
"Jul 07, 2017",-24.40630363551256
"Jul 10, 2017",11.600066050198144
"Jul 11, 2017",-8.422726936450397
"Jul 12, 2017",8.199701094639899
"Jul 13, 2017",-13.290028745286897
"Jul 14, 2017",1.4293709906574303
"Jul 17, 2017",3.900844687805094
"Jul 18, 2017",2.585995587874823
"Jul 19, 2017",0.7685874716259811
"Jul 20, 2017",24.07129307619349
"Jul 21, 2017",15.569358178053827
"Jul 24, 2017",-21.70437946145578
"Jul 25, 2017",7.117713320191488
"Jul 26, 2017",-8.563917186986526
"Jul 27, 2017",46.39160437032777
"Jul 28, 2017",-29.875773347736423
"Jul 31, 2017",7.695270104680874
"Aug 01, 2017",6.761808783849688
"Aug 02, 2017",2.560823361042597
"Aug 03, 2017",-17.246600558161628
"Aug 04, 2017",-9.001542711584687
"Aug 07, 2017",-16.01876675603218
"Aug 08, 2017",22.998920238486463
"Aug 09, 2017",6.030534351145045
"Aug 10, 2017",9.182865370770333
"Aug 11, 2017",-21.601661666282023
"Aug 14, 2017",-1.160688002018584
"Aug 15, 2017",14.483257456494925
