,DailyTweetAmounts
"Jun 9, 2017 ",8
"Jun 7, 2017 ",2
"Jun 6, 2017 ",12
"Jun 5, 2017 ",9
"Jun 4, 2017 ",3
"Jun 3, 2017 ",4
"Jun 2, 2017 ",9
"Jun 1, 2017 ",4
"May 31, 2017",10
"May 30, 2017",6
"May 29, 2017",4
"May 28, 2017",14
"May 27, 2017",7
"May 26, 2017",4
"May 25, 2017",4
"May 24, 2017",2
"May 23, 2017",4
"May 22, 2017",2
"May 21, 2017",3
"May 20, 2017",2
"May 19, 2017",2
"May 18, 2017",5
"May 17, 2017",1
"May 16, 2017",5
"May 15, 2017",2
"May 14, 2017",1
"May 13, 2017",3
"May 12, 2017",10
"May 11, 2017",5
"May 10, 2017",11
"May 9, 2017 ",3
"May 8, 2017 ",10
"May 7, 2017 ",6
"May 6, 2017 ",1
"May 5, 2017 ",9
"May 4, 2017 ",11
"May 3, 2017 ",2
"May 2, 2017 ",5
"May 1, 2017 ",3
"Apr 30, 2017",5
"Apr 29, 2017",3
"Apr 28, 2017",6
"Apr 27, 2017",12
"Apr 26, 2017",9
"Apr 25, 2017",5
"Apr 24, 2017",7
"Apr 23, 2017",7
"Apr 22, 2017",7
"Apr 21, 2017",8
"Apr 20, 2017",3
"Apr 19, 2017",4
"Apr 18, 2017",7
"Apr 17, 2017",8
"Apr 16, 2017",6
"Apr 14, 2017",2
"Apr 13, 2017",4
"Apr 12, 2017",6
"Apr 11, 2017",6
"Apr 10, 2017",2
"Apr 9, 2017 ",3
"Apr 8, 2017 ",5
"Apr 7, 2017 ",1
"Apr 6, 2017 ",1
"Apr 5, 2017 ",2
"Apr 4, 2017 ",4
"Apr 3, 2017 ",7
"Apr 2, 2017 ",4
"Apr 1, 2017 ",8
"Mar 31, 2017",7
"Mar 30, 2017",9
"Mar 29, 2017",5
"Mar 28, 2017",6
"Mar 27, 2017",4
"Mar 26, 2017",2
"Mar 25, 2017",4
"Mar 24, 2017",4
"Mar 23, 2017",4
"Mar 22, 2017",4
"Mar 21, 2017",3
"Mar 20, 2017",8
"Mar 19, 2017",1
"Mar 18, 2017",2
"Mar 17, 2017",9
"Mar 16, 2017",5
"Mar 15, 2017",9
"Mar 14, 2017",2
"Mar 13, 2017",5
"Mar 12, 2017",1
"Mar 11, 2017",1
"Mar 10, 2017",3
"Mar 9, 2017 ",4
"Mar 8, 2017 ",5
"Mar 7, 2017 ",7
"Mar 6, 2017 ",6
"Mar 5, 2017 ",3
"Mar 4, 2017 ",7
"Mar 3, 2017 ",9
"Mar 2, 2017 ",5
"Mar 1, 2017 ",1
"Feb 28, 2017",2
"Feb 27, 2017",3
"Feb 26, 2017",4
"Feb 25, 2017",6
"Feb 24, 2017",5
"Feb 23, 2017",3
"Feb 22, 2017",2
"Feb 21, 2017",2
"Feb 20, 2017",5
"Feb 19, 2017",1
"Feb 18, 2017",3
"Feb 17, 2017",9
"Feb 16, 2017",6
"Feb 15, 2017",11
"Feb 14, 2017",4
"Feb 13, 2017",5
"Feb 12, 2017",8
"Feb 11, 2017",10
"Feb 10, 2017",3
"Feb 9, 2017 ",7
"Feb 8, 2017 ",11
"Feb 7, 2017 ",4
"Feb 6, 2017 ",7
"Feb 5, 2017 ",5
"Feb 4, 2017 ",10
"Feb 3, 2017 ",8
"Feb 2, 2017 ",6
"Feb 1, 2017 ",3
"Jan 31, 2017",5
"Jan 30, 2017",8
"Jan 29, 2017",7
"Jan 28, 2017",5
"Jan 27, 2017",7
"Jan 26, 2017",7
"Jan 25, 2017",8
"Jan 24, 2017",8
"Jan 23, 2017",1
"Jan 22, 2017",4
"Jan 21, 2017",2
"Jan 20, 2017",12
