,DailyTweetAmounts
"Aug 22, 2019",37
"Aug 21, 2019",26
"Aug 20, 2019",32
"Aug 19, 2019",16
"Aug 18, 2019",20
"Aug 17, 2019",31
"Aug 16, 2019",25
"Aug 15, 2019",36
"Aug 14, 2019",15
"Aug 13, 2019",49
"Aug 12, 2019",13
"Aug 11, 2019",9
"Aug 10, 2019",13
"Aug 9, 2019 ",8
"Aug 8, 2019 ",11
"Aug 7, 2019 ",26
"Aug 6, 2019 ",18
"Aug 5, 2019 ",14
"Aug 4, 2019 ",5
"Aug 3, 2019 ",19
"Aug 2, 2019 ",9
"Aug 1, 2019 ",16
"Jul 31, 2019",23
"Jul 30, 2019",26
"Jul 29, 2019",24
"Jul 28, 2019",14
"Jul 27, 2019",24
"Jul 26, 2019",17
"Jul 25, 2019",16
"Jul 24, 2019",42
"Jul 23, 2019",20
"Jul 22, 2019",18
"Jul 21, 2019",15
"Jul 20, 2019",31
"Jul 19, 2019",22
"Jul 18, 2019",13
"Jul 17, 2019",15
"Jul 16, 2019",14
"Jul 15, 2019",16
"Jul 14, 2019",34
"Jul 13, 2019",31
"Jul 12, 2019",45
"Jul 11, 2019",45
"Jul 10, 2019",17
"Jul 9, 2019 ",24
"Jul 8, 2019 ",11
"Jul 7, 2019 ",16
"Jul 6, 2019 ",15
"Jul 5, 2019 ",8
"Jul 4, 2019 ",46
"Jul 3, 2019 ",14
"Jul 2, 2019 ",21
"Jul 1, 2019 ",14
"Jun 30, 2019",7
"Jun 29, 2019",11
"Jun 28, 2019",4
"Jun 27, 2019",7
"Jun 26, 2019",50
"Jun 25, 2019",14
"Jun 24, 2019",13
"Jun 23, 2019",5
"Jun 22, 2019",17
"Jun 21, 2019",10
"Jun 20, 2019",5
"Jun 19, 2019",11
"Jun 18, 2019",16
"Jun 17, 2019",10
"Jun 16, 2019",18
"Jun 15, 2019",47
"Jun 14, 2019",13
"Jun 13, 2019",22
"Jun 12, 2019",23
"Jun 11, 2019",20
"Jun 10, 2019",20
"Jun 9, 2019 ",22
"Jun 8, 2019 ",16
"Jun 7, 2019 ",20
"Jun 6, 2019 ",11
"Jun 5, 2019 ",13
"Jun 4, 2019 ",9
"Jun 3, 2019 ",19
"Jun 2, 2019 ",15
"Jun 1, 2019 ",24
"May 31, 2019",12
"May 30, 2019",20
"May 29, 2019",8
"May 28, 2019",10
"May 27, 2019",17
"May 26, 2019",8
"May 25, 2019",26
"May 24, 2019",11
"May 23, 2019",28
"May 22, 2019",34
"May 21, 2019",17
"May 20, 2019",19
"May 19, 2019",19
"May 18, 2019",17
"May 17, 2019",15
"May 16, 2019",8
"May 15, 2019",8
"May 14, 2019",18
"May 13, 2019",25
"May 12, 2019",30
"May 11, 2019",71
"May 10, 2019",34
"May 9, 2019 ",13
"May 8, 2019 ",30
"May 7, 2019 ",14
"May 6, 2019 ",9
"May 5, 2019 ",29
"May 4, 2019 ",27
"May 3, 2019 ",19
"May 2, 2019 ",12
"May 1, 2019 ",84
"Apr 30, 2019",9
"Apr 29, 2019",13
"Apr 28, 2019",1
"Apr 27, 2019",17
"Apr 26, 2019",11
"Apr 25, 2019",22
"Apr 24, 2019",16
"Apr 23, 2019",18
"Apr 22, 2019",44
"Apr 21, 2019",9
"Apr 20, 2019",21
"Apr 19, 2019",13
"Apr 18, 2019",22
"Apr 17, 2019",7
"Apr 16, 2019",11
"Apr 15, 2019",16
"Apr 14, 2019",10
"Apr 13, 2019",12
"Apr 12, 2019",18
"Apr 11, 2019",12
"Apr 10, 2019",9
"Apr 9, 2019 ",19
"Apr 8, 2019 ",13
"Apr 7, 2019 ",8
"Apr 6, 2019 ",20
"Apr 5, 2019 ",20
"Apr 4, 2019 ",11
"Apr 3, 2019 ",4
"Apr 2, 2019 ",11
"Apr 1, 2019 ",14
"Mar 31, 2019",3
"Mar 30, 2019",4
"Mar 29, 2019",10
"Mar 28, 2019",16
"Mar 27, 2019",8
"Mar 26, 2019",12
"Mar 25, 2019",17
"Mar 24, 2019",3
"Mar 22, 2019",11
"Mar 21, 2019",7
"Mar 20, 2019",10
"Mar 19, 2019",13
"Mar 18, 2019",15
"Mar 17, 2019",32
"Mar 16, 2019",20
"Mar 15, 2019",11
"Mar 14, 2019",14
"Mar 13, 2019",19
"Mar 12, 2019",24
"Mar 11, 2019",5
"Mar 10, 2019",15
"Mar 9, 2019 ",16
"Mar 8, 2019 ",35
"Mar 7, 2019 ",3
"Mar 6, 2019 ",6
"Mar 5, 2019 ",19
"Mar 4, 2019 ",14
"Mar 3, 2019 ",15
"Mar 2, 2019 ",13
"Mar 1, 2019 ",10
"Feb 28, 2019",7
"Feb 27, 2019",12
"Feb 26, 2019",3
"Feb 25, 2019",20
"Feb 24, 2019",10
"Feb 23, 2019",14
"Feb 22, 2019",6
"Feb 21, 2019",7
